Eli Bowen
Elizabeth Andrade
Fernando Andrade
Jacques Andreani
Marc Andreessen
Giulio Andreotti
Jeff Andretti
Mario Andretti
Michael Andretti
Frankie Andreu
Christopher Andrew
William Andrewes
Brian Andrews
Dave Andrews
Lori Andrews
Mike Andrews
Richard Andrews
Robert Andrews
Susan Andrews
Tina Andrews
Iona Andronov
Yuri Andropov
Diogenes Angelakos
Mother Angelica
Phil Angelides
Marcia Angell
Roger Angell
Peter Angelos
Jim Angle
Ernest Angley
John Ankerberg
Kofi Annan
George Annas
Frank Annunzio
Michael Ansara
David Ansen
Robert Sam Anson
Harry Lee Anstead
Carl Anthony
Richard Anthony
Bruce Antone
Anna Antonicheva
Jose Aponte
Amy Applebaum
Christina Applegate
Mike Appleton
Steve Appleton
Luke Appling
Michael Apted
Virginia Apuzzo
Benigno Aquino
Corazon Aquino
Suha Arafat
Yasser Arafat
William Aramony
Ana Arana
Maher Arar
Alexei Arbatov
Louise Arbour
Anne Archer
Bill Archer
Dennis Archer
Geoffrey Archer
Nate Archibald
George Argyros
Roone Arledge
Michael Armacost
Richard Armitage
Barbara Armstrong
Beth Armstrong
Bill Armstrong
David Armstrong
James Armstrong
Lance Armstrong
Louis Armstrong
Nancy Armstrong
Paul Armstrong
Richard Armstrong
Scott Armstrong
William Armstrong
Cliff Arnebeck
Peter Arnett
Bill Arnold
Daryl Arnold
Ed Arnold
Ron Arnold
Stanley Arnold
Noam Arnon
Barbara Arnwine
Joker Arroyo
Raymond Arsenault
Daniel Arshack
Mohammad Arshad
Larry Arthur
Bob Arum
Ricardo Asch
Timothy Garton Ash
Richie Ashburn
John Ashcroft
Paddy Ashdown
Arthur Ashe
Bill Asher
Dan Ashley
Frank Ashworth
Isaac Asimov
Reubin Askew
Richard Askew
Reza Aslan
Ed Asner
Thalia Assuras
Fred Astaire
Brooke Astor
Roy Atherton
Charles Atkins
George Atkins
Samuel Atkins
Tom Atkins
Graeme Atkinson
Jeff Atkinson
Jim Atkinson
Larry Atkinson
Richard C. Atkinson
Ron Atkinson
Steve Atkinson
James Atlas
David Attenborough
Lee Atwater
Brian Atwood
Margaret Atwood
Arnold Auerbach
Red Auerbach
David Aufhauser
Ken Auletta
Ali Jan Aurakzai
Arthur Austin
Bill Austin
Ed Austin
Jeff Austin
Joe Austin
Lloyd Austin
Scott Austin
Tracy Austin
Darnell Autry
George Avakian
Michael Avery
Jim Avila
Carlos Aviles
Juval Aviv
Jon Avnet
David Axelrod
Pete Axthelm
Ruben Ayala
Danny Ayalon
Melanie Ayers
Dan Aykroyd
Richard Ayres
Robert Ayres
Gohar Ayub Khan
Hank Azaria
Tariq Aziz
Bob Babbitt
Bruce Babbitt
Andrei Babitsky
Jim Baca
Lee Baca
Lauren Bacall
John Bachmann
John Backe
Charles Bacon
Kenneth Bacon
Kevin Bacon
Zaki Badawi
John Baer
Robert Baer
Joan Baez
Carl Bagge
Dan Bahat
Morton Bahr
Matt Bai
John Bailar
Emma Bailey
F. Lee Bailey
Jack Bailey
Leonard Bailey
Martin Bailey
Michael Bailey
Nadine Bailey
Norman Bailey
